;model;make;count;type;semiprof
0;Canon EOS 7D Mark II;Canon;8672;DSLR;0
1;Canon EOS 5D Mark IV;Canon;7216;DSLR;1
2;Canon EOS R5;Canon;4782;DLSM;1
3;Canon EOS 6D;Canon;4592;DSLR;1
4;Canon EOS 5D Mark III;Canon;4288;DSLR;1
5;Canon EOS 6D Mark II;Canon;3979;DSLR;1
6;NIKON D850;NIKON CORPORATION;3830;DSLR;1
7;ILCE-7M3;SONY;3729;DLSM;1
9;NIKON D750;NIKON CORPORATION;3640;DSLR;1
10;Canon EOS 7D;Canon;3197;DSLR;1
11;ILCE-7C;SONY;3190;DLSM;0
12;Canon EOS R6;Canon;2971;DLSM;1
14;Canon EOS 70D;Canon ;2932;DSLR;0
15;NIKON D7200;NIKON CORPORATION;2837;DSLR;0
16;Canon EOS 5D Mark II;Canon;2722;DSLR;1
17;NIKON D500;NIKON CORPORATION;2643;DSLR;0
18;NIKON Z 9;NIKON CORPORATION;2575;DLSM;1
19;Canon EOS 80D;Canon;2399;DSLR;0
20;NIKON D7000;NIKON CORPORATION;2331;DSLR;0
21;iPhone 11;Apple;2320;Smartphone;0
22;NIKON D90;NIKON CORPORATION;2309;DSLR;0
25;iPhone 13 Pro;Apple;2248;Smartphone;0
27;NIKON Z 6_2;NIKON CORPORATION;2230;DLSM;1
28;NIKON D7500;NIKON CORPORATION;2229;DSLR;0
29;NIKON D7100;NIKON CORPORATION;2097;DSLR;0
31;iPhone 14 Pro Max;Apple;2074;Smartphone;0
32;NIKON D800;NIKON CORPORATION;2046;DSLR;1
33;iPhone 12 Pro;Apple;1978;Smartphone;0
34;iPhone 13 Pro Max;Apple;1954;Smartphone;0
36;Canon EOS 90D;Canon;1833;DSLR;0
37;Canon EOS 2000D;Canon;1776;DSLR;0
38;Canon EOS 60D;Canon;1751;DSLR;0
39;NIKON D3200;NIKON CORPORATION;1711;DSLR;0
40;ILCE-7RM3;SONY;1701;DLSM;1
42;NIKON D810;NIKON CORPORATION;1673;DSLR;1
43;iPhone 12;Apple;1664;Smartphone;0
44;Canon EOS R;Canon;1623;DLSM;0
45;DMC-FZ1000;Panasonic;1605;Other;0
46;NIKON Z 6;NIKON CORPORATION;1593;DLSM;1
47;ILCE-7M4;SONY;1546;DLSM;1
48;Canon EOS 600D;Canon;1533;DSLR;0
49;iPhone 13;Apple;1496;Smartphone;0
50;iPhone 14 Pro;Apple;1495;Smartphone;0
51;NIKON D700;NIKON CORPORATION;1449;DSLR;1
52;X-T3;FUJIFILM;1437;DLSM;1
53;DC-G9;Panasonic;1424;DLSM;0
54;iPhone 12 Pro Max;Apple;1408;Smartphone;0
55;Canon EOS 700D;Canon;1388;DSLR;0
56;ILCE-6400;SONY;1375;DLSM;0
58;ILCE-6000;SONY;1337;DLSM;0
60;NIKON D5300;NIKON CORPORATION;1335;DSLR;0
61;NIKON D3100;NIKON CORPORATION;1264;DSLR;0
62;NIKON D610;NIKON CORPORATION;1211;DSLR;0
63;Canon EOS-1D X;Canon;1185;DSLR;1
64;E-M1MarkII;OLYMPUS CORPORATION;1175;DLSM;0
65;Canon EOS R3;Canon;1107;DLSM;1
66;NIKON D5600;NIKON CORPORATION;1079;DSLR;0
67;Canon EOS 550D;Canon;1077;DSLR;0
68;DMC-FZ72;Panasonic;1072;Other;0
69;Pixel 7 Pro;Google;1053;Smartphone;0
70;NIKON D5;NIKON CORPORATION;1044;DSLR;1
71;Canon PowerShot G7 X Mark II;Canon;1017;Other;0
72;iPhone 11 Pro;Apple;1016;Smartphone;0
73;iPhone 8;Apple;1000;Smartphone;0
74;NIKON D5500;NIKON CORPORATION;998;DSLR;0
75;OM-1;OM Digital Solutions;997;DLSM;1
77;NIKON D3500;NIKON CORPORATION;985;DSLR;0
78;iPhone 11 Pro Max;Apple;957;Smartphone;0
79;iPhone 7;Apple;953;Smartphone;0
80;iPhone 6;Apple;942;Smartphone;0
81;DSC-RX10M4;SONY;940;Other;0
82;iPhone SE (2nd generation);Apple;926;Smartphone;0
83;Canon EOS R7;Canon;926;DLSM;0
84;Canon EOS 400D DIGITAL;Canon;921;DSLR;0
85;NIKON D80;NIKON CORPORATION;920;DSLR;0
86;M1908C3JGG;Xiaomi;884;Smartphone;0
87;X-T4;FUJIFILM;875;DLSM;1
88;iPhone XR;Apple;829;Smartphone;0
89;Canon EOS 100D;Canon;815;DSLR;0
90;Canon EOS RP;Canon;800;DLSM;0
91;iPhone 8 Plus;Apple;794;Smartphone;0
92;NIKON D780;NIKON CORPORATION;790;DSLR;1
93;NIKON D5100;NIKON CORPORATION;789;DSLR;0
94;COOLPIX P900;NIKON;764;Other;0
95;ILCE-1;SONY;751;DLSM;1
96;Canon EOS-1D X Mark II;Canon;746;DSLR;1
97;Canon EOS 77D;Canon;740;DSLR;0
98;NIKON D3400;NIKON CORPORATION;734;DSLR;0
99;Canon PowerShot SX70 HS;Canon;724;Other;0
100;DMC-TZ60;Panasonic;706;Other;0
101;NIKON D5200;NIKON CORPORATION;704;DSLR;0
102;Canon EOS 5D;Canon;697;DSLR;1
103;PENTAX K-1;RICOH IMAGING COMPANY, LTD.;693;DSLR;1
104;NIKON D3300;NIKON CORPORATION;681;DSLR;0
105;NIKON Z 7_2;NIKON CORPORATION;665;DLSM;1
106;Canon EOS 450D;Canon;664;DSLR;0
107;DMC-FZ200;Panasonic;662;Other;0
108;ILCA-77M2;SONY;661;DSLR;1
109;Canon EOS REBEL T3i;Canon;652;DSLR;0
110;ILCE-7M2;SONY;649;DLSM;1
