,brand_id,brand,model_id,name,image_small,image_large
0,sony,Sony,ilce-7m3,Sony A7 III,https://live.staticflickr.com/cameras/72157664172697537_model_small_04e01ea2a8.jpg,https://live.staticflickr.com/cameras/72157664172697537_model_large_8ca3fb0a0a.jpg
1,sony,Sony,ilce-7m4,A7 IV,https://live.staticflickr.com/cameras/72157720426543422_model_small_338779e949.jpg,https://live.staticflickr.com/cameras/72157720426543422_model_large_d0cb77dfd9.jpg
2,sony,Sony,a6000,Sony A6000,https://live.staticflickr.com/cameras/72157641029228934_model_small_10f831bcb9.jpg,https://live.staticflickr.com/cameras/72157641029228934_model_large_3b135c240a.jpg
3,sony,Sony,ilce-7m3,Sony A7 III,https://live.staticflickr.com/cameras/72157664172697537_model_small_04e01ea2a8.jpg,https://live.staticflickr.com/cameras/72157664172697537_model_large_8ca3fb0a0a.jpg
4,sony,Sony,ilce-7m4,A7 IV,https://live.staticflickr.com/cameras/72157720426543422_model_small_338779e949.jpg,https://live.staticflickr.com/cameras/72157720426543422_model_large_d0cb77dfd9.jpg
5,sony,Sony,a6000,Sony A6000,https://live.staticflickr.com/cameras/72157641029228934_model_small_10f831bcb9.jpg,https://live.staticflickr.com/cameras/72157641029228934_model_large_3b135c240a.jpg
6,sony,Sony,ilce-7m3,Sony A7 III,https://live.staticflickr.com/cameras/72157664172697537_model_small_04e01ea2a8.jpg,https://live.staticflickr.com/cameras/72157664172697537_model_large_8ca3fb0a0a.jpg
7,sony,Sony,ilce-7m4,A7 IV,https://live.staticflickr.com/cameras/72157720426543422_model_small_338779e949.jpg,https://live.staticflickr.com/cameras/72157720426543422_model_large_d0cb77dfd9.jpg
8,sony,Sony,a6000,Sony A6000,https://live.staticflickr.com/cameras/72157641029228934_model_small_10f831bcb9.jpg,https://live.staticflickr.com/cameras/72157641029228934_model_large_3b135c240a.jpg
9,sony,Sony,ilce-7m3,Sony A7 III,https://live.staticflickr.com/cameras/72157664172697537_model_small_04e01ea2a8.jpg,https://live.staticflickr.com/cameras/72157664172697537_model_large_8ca3fb0a0a.jpg
10,sony,Sony,ilce-7m4,A7 IV,https://live.staticflickr.com/cameras/72157720426543422_model_small_338779e949.jpg,https://live.staticflickr.com/cameras/72157720426543422_model_large_d0cb77dfd9.jpg
11,sony,Sony,a6000,Sony A6000,https://live.staticflickr.com/cameras/72157641029228934_model_small_10f831bcb9.jpg,https://live.staticflickr.com/cameras/72157641029228934_model_large_3b135c240a.jpg
