,word,count
0,-,61988
1,de,20862
2,the,18493
3,of,17531
4,in,15127
5,2023,14445
6,and,11346
7,The,9234
8,/,8671
9,a,8495
10,at,7899
11,&,7006
12,to,5550
13,la,5088
14,on,4920
15,with,4501
16,A,3979
17,|,3769
18,2022,3442
19,for,3413
20,by,3244
21,der,3237
22,from,3231
23,di,3171
24,en,3168
25,DE,2905
26,I,2827
27,@,2817
28,La,2768
29,2,2707
30,und,2575
31,del,2567
32,1,2554
33,du,2327
34,is,2284
35,Day,2101
36,des,2092
37,y,1964
38,–,1908
39,von,1874
40,Park,1843
41,e,1829
42,le,1688
43,City,1676
44,à,1661
45,©,1631
46,New,1561
47,et,1557
48,:,1543
49,mit,1541
50,vs,1471
51,do,1461
52,Museum,1448
53,im,1419
54,3,1389
55,Island,1376
56,San,1348
57,da,1340
58,September,1311
59,National,1307
60,el,1270
61,St,1267
62,Le,1266
63,Festival,1264
64,II,1259
65,2019,1252
66,an,1234
67,In,1233
68,am,1202
69,2021,1184
70,St.,1177
71,(Panthera,1138
72,County,1090
73,South,1037
74,"2023,",1034
75,2020,1024
76,Lake,1020
77,.,1020
78,State,1016
79,v,1009
80,4,1003
81,die,995
82,LA,991
83,August,984
84,",",968
85,5,959
86,2018,951
87,Show,949
88,i,933
89,Street,929
90,my,928
91,un,927
92,10,905
93,Memorial,899
94,+,898
95,Of,858
96,House,854
97,Art,853
98,Church,849
99,...,844
